username,password,area,life,time,score,x,y
Arjun,1499143674,8,92,0:55,13,670,495
Drake,1697163748,8,97,0:16,7,655,555
Benn,2290780938,4,95,0:17,2,595,540
Ryan Hill,955218779,5,86,0:48,9,640,500
Anakin,1526755951,5,100,0:45,2,650,560
Maria,743310991,7,95,0:26,14,430,535
Steve,2634771838,7,95,0:36,14,590,500
Abhi,2555967966,8,92,0:51,17,215,560
Norman,1762726763,7,97,0:29,5,225,165
Obi Wan,4171214066,7,6,0:22,7,230,490
Pete,3916583078,4,9,0:04,0,420,230
Mark,644013939,4,2,0:41,3,935,265
alpha male,1265302565,9,7,1:34,43,755,165
James,3830250129,9,5,3:34,22,515,295
goose,2123397621,2,9,4:42,22,475,130
